#Name,n_Name,JD,Band,l_mag,mag,e_mag,Source
V3890 Sgr,q,2441954.50800,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2442249.67800,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2442251.63800,B,,16.600,0.10,Maria Mitchell
V3890 Sgr,q,2442251.71400,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2442252.64100,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2442270.61200,B,,16.700,0.10,Maria Mitchell
V3890 Sgr,q,2442271.62400,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2442271.65100,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2442272.60400,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2442272.62800,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2442275.60400,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2442275.65800,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2442992.62400,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2442992.65400,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2443008.60500,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2443011.59600,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2443044.53200,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2443047.51900,B,,15.800,0.10,Maria Mitchell
V3890 Sgr,q,2443047.54900,B,,15.900,0.10,Maria Mitchell
V3890 Sgr,q,2443308.70200,B,,16.600,0.10,Maria Mitchell
V3890 Sgr,q,2443314.75300,B,,15.900,0.10,Maria Mitchell
V3890 Sgr,q,2443318.72100,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2443318.76900,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2443754.53200,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2443754.55700,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2443775.54100,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2444045.76100,B,,15.800,0.10,Maria Mitchell
V3890 Sgr,q,2444045.76100,B,,15.800,0.10,Maria Mitchell
V3890 Sgr,q,2444050.65100,B,,15.200,0.10,Maria Mitchell
V3890 Sgr,q,2444050.65100,B,,15.200,0.10,Maria Mitchell
V3890 Sgr,q,2444050.73000,B,,15.600,0.10,Maria Mitchell
V3890 Sgr,q,2444050.73000,B,,15.600,0.10,Maria Mitchell
V3890 Sgr,q,2444050.78200,B,,15.600,0.10,Maria Mitchell
V3890 Sgr,q,2444050.78200,B,,15.600,0.10,Maria Mitchell
V3890 Sgr,q,2444135.53900,B,,16.600,0.10,Maria Mitchell
V3890 Sgr,q,2444461.60100,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2444493.57200,B,,15.800,0.10,Maria Mitchell
V3890 Sgr,q,2444510.50300,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2444525.50600,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2444796.74900,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2444816.69500,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2445144.74100,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2445530.65400,B,,15.800,0.10,Maria Mitchell
V3890 Sgr,q,2446320.54000,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2446325.51700,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2446975.66900,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2446983.74700,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2446996.62300,B,,15.700,0.10,Maria Mitchell
V3890 Sgr,q,2447004.64900,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2447021.56900,B,,15.900,0.10,Maria Mitchell
V3890 Sgr,q,2447028.55400,B,,15.900,0.10,Maria Mitchell
V3890 Sgr,q,2447029.58800,B,,15.800,0.10,Maria Mitchell
V3890 Sgr,q,2447031.58700,B,,15.900,0.10,Maria Mitchell
V3890 Sgr,q,2447032.62200,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2447038.56700,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2447773.60000,B,,15.500,0.10,Maria Mitchell
V3890 Sgr,q,2448042.81100,B,,15.200,0.10,Maria Mitchell
V3890 Sgr,q,2448043.79900,B,,15.600,0.10,Maria Mitchell
V3890 Sgr,q,2448150.54200,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2448474.60300,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2448475.60900,B,,15.500,0.10,Maria Mitchell
V3890 Sgr,q,2449573.00000,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2449788.30000,V,,15.000,0.15,AAVSO
V3890 Sgr,q,2449860.84800,V,,14.400,0.15,AAVSO
V3890 Sgr,q,2449868.81000,V,,14.700,0.15,AAVSO
V3890 Sgr,q,2450228.79400,V,,14.900,0.15,AAVSO
V3890 Sgr,q,2450260.76300,V,,14.700,0.15,AAVSO
V3890 Sgr,q,2450275.74300,V,,15.000,0.15,AAVSO
V3890 Sgr,q,2450284.75900,V,,15.100,0.15,AAVSO
V3890 Sgr,q,2450305.69100,V,,15.500,0.15,AAVSO
V3890 Sgr,q,2450312.90000,V,,16.000,0.15,AAVSO
V3890 Sgr,q,2450313.64400,V,,15.500,0.15,AAVSO
V3890 Sgr,q,2450553.88500,V,,15.000,0.15,AAVSO
V3890 Sgr,q,2450579.86200,V,,14.800,0.15,AAVSO
V3890 Sgr,q,2450588.86000,V,,14.600,0.15,AAVSO
V3890 Sgr,q,2450606.02400,V,,14.800,0.15,AAVSO
V3890 Sgr,q,2450608.83300,V,,14.500,0.15,AAVSO
V3890 Sgr,q,2450609.82200,V,,14.400,0.15,AAVSO
V3890 Sgr,q,2450613.33100,V,,14.500,0.15,AAVSO
V3890 Sgr,q,2450614.84500,V,,14.400,0.15,AAVSO
V3890 Sgr,q,2450626.79400,V,,14.500,0.15,AAVSO
V3890 Sgr,q,2450627.70000,V,,14.300,0.15,AAVSO
