#HJD,Obs.date,Mag,e_Mag,Band
2455884.449,2011-11-19,14.390,0.024,IC
2455884.456,2011-11-19,--,--,RC
2455884.456,2011-11-19,14.901,0.013,V
2455884.456,2011-11-19,--,--,B
2455884.456,2011-11-19,14.378,0.024,IC
2455884.462,2011-11-19,--,--,RC
2455884.462,2011-11-19,14.890,0.013,V
2455884.462,2011-11-19,--,--,B
2455884.462,2011-11-19,14.366,0.024,IC
2455884.469,2011-11-19,--,--,RC
2455884.469,2011-11-19,14.927,0.017,V
2455884.469,2011-11-19,--,--,B
2455884.469,2011-11-19,14.425,0.040,IC
2455884.475,2011-11-19,--,--,RC
2455884.475,2011-11-19,15.007,0.020,V
2455884.475,2011-11-19,--,--,B
2455884.475,2011-11-19,14.355,0.039,IC
2455884.482,2011-11-19,--,--,RC
2455884.482,2011-11-19,14.939,0.015,V
2455884.482,2011-11-19,--,--,B
2455884.482,2011-11-19,14.412,0.031,IC
2455884.488,2011-11-19,--,--,RC
2455884.488,2011-11-19,14.920,0.013,V
2455884.488,2011-11-19,--,--,B
2455884.488,2011-11-19,14.473,0.032,IC
2455884.494,2011-11-19,--,--,RC
2455884.494,2011-11-19,14.886,0.014,V
2455884.494,2011-11-19,--,--,B
2455884.494,2011-11-19,14.423,0.025,IC
2455884.499,2011-11-19,--,--,RC
2455884.499,2011-11-19,14.908,0.012,V
2455884.499,2011-11-19,--,--,B
2455884.499,2011-11-19,14.459,0.027,IC
2455884.506,2011-11-19,--,--,RC
2455884.506,2011-11-19,14.865,0.012,V
2455884.506,2011-11-19,--,--,B
2455884.506,2011-11-19,14.409,0.025,IC
2455884.512,2011-11-19,--,--,RC
2455884.512,2011-11-19,14.836,0.013,V
2455884.512,2011-11-19,--,--,B
2455884.512,2011-11-19,14.287,0.022,IC
2455884.519,2011-11-19,--,--,RC
2455884.519,2011-11-19,14.811,0.012,V
2455884.519,2011-11-19,--,--,B
2455884.519,2011-11-19,14.344,0.023,IC
2455884.525,2011-11-19,--,--,RC
2455884.525,2011-11-19,14.816,0.012,V
2455884.525,2011-11-19,--,--,B
2455884.525,2011-11-19,14.279,0.022,IC
2455884.532,2011-11-19,--,--,RC
2455884.532,2011-11-19,14.824,0.013,V
2455884.532,2011-11-19,--,--,B
2455884.532,2011-11-19,14.326,0.024,IC
2455884.538,2011-11-19,--,--,RC
2455884.538,2011-11-19,14.854,0.013,V
2455884.538,2011-11-19,--,--,B
2455884.538,2011-11-19,14.342,0.023,IC
2455884.545,2011-11-19,--,--,RC
2455884.545,2011-11-19,14.813,0.012,V
2455884.545,2011-11-19,--,--,B
2455884.545,2011-11-19,14.329,0.021,IC
2455884.551,2011-11-19,--,--,RC
2455884.551,2011-11-19,14.794,0.013,V
2455884.551,2011-11-19,--,--,B
2455884.551,2011-11-19,14.318,0.021,IC
2455884.558,2011-11-19,--,--,RC
2455884.558,2011-11-19,14.764,0.012,V
2455884.558,2011-11-19,--,--,B
2455884.558,2011-11-19,14.337,0.022,IC
2455884.564,2011-11-19,--,--,RC
2455884.564,2011-11-19,14.812,0.013,V
2455884.564,2011-11-19,--,--,B
2455884.564,2011-11-19,14.295,0.021,IC
2455884.570,2011-11-19,--,--,RC
2455884.570,2011-11-19,14.836,0.013,V
2455884.570,2011-11-19,--,--,B
2455884.570,2011-11-19,14.324,0.022,IC
2455884.577,2011-11-19,--,--,RC
2455884.577,2011-11-19,14.787,0.013,V
2455884.577,2011-11-19,--,--,B
2455884.577,2011-11-19,14.255,0.021,IC
2455884.583,2011-11-19,--,--,RC
2455884.583,2011-11-19,14.752,0.012,V
2455884.583,2011-11-19,--,--,B
2455884.583,2011-11-19,14.244,0.022,IC
2455884.590,2011-11-19,--,--,RC
2455884.590,2011-11-19,14.757,0.013,V
2455884.590,2011-11-19,--,--,B
2455884.590,2011-11-19,14.231,0.025,IC
2455884.596,2011-11-19,--,--,RC
2455884.596,2011-11-19,14.764,0.014,V
2455884.596,2011-11-19,--,--,B
2455884.596,2011-11-19,14.252,0.020,IC
2455884.600,2011-11-19,--,--,RC
2455884.600,2011-11-19,14.821,0.014,V
2455884.600,2011-11-19,--,--,B
2455884.600,2011-11-19,14.273,0.026,IC
2455884.606,2011-11-19,--,--,RC
2455884.606,2011-11-19,14.822,0.015,V
2455884.606,2011-11-19,--,--,B
2455884.606,2011-11-19,14.282,0.023,IC
2455884.612,2011-11-19,--,--,RC
2455884.612,2011-11-19,14.883,0.016,V
2455884.612,2011-11-19,--,--,B
2455884.612,2011-11-19,14.390,0.025,IC
2455884.619,2011-11-19,--,--,RC
2455884.619,2011-11-19,14.899,0.019,V
2455884.619,2011-11-19,--,--,B
2455884.619,2011-11-19,14.365,0.025,IC
2455884.627,2011-11-19,--,--,RC
2455884.627,2011-11-19,14.854,0.017,V
2455884.627,2011-11-19,--,--,B
2455884.627,2011-11-19,14.278,0.024,IC
2455884.633,2011-11-19,--,--,RC
2455884.633,2011-11-19,14.780,0.019,V
2455884.633,2011-11-19,--,--,B
2455884.633,2011-11-19,14.329,0.028,IC
2455885.605,2011-11-20,14.548,0.014,RC
2455885.605,2011-11-20,14.791,0.013,V
2455885.605,2011-11-20,14.997,0.016,B
2455885.605,2011-11-20,14.339,0.018,IC
2455886.641,2011-11-21,--,--,RC
2455886.641,2011-11-21,14.911,0.013,V
2455886.641,2011-11-21,15.183,0.020,B
2455886.641,2011-11-21,14.421,0.021,IC
2455887.586,2011-11-22,14.534,0.014,RC
2455887.586,2011-11-22,14.724,0.011,V
2455887.586,2011-11-22,14.971,0.015,B
2455887.586,2011-11-22,14.267,0.021,IC
2455888.523,2011-11-23,14.472,0.011,RC
2455888.523,2011-11-23,14.687,0.009,V
2455888.523,2011-11-23,14.863,0.014,B
2455888.523,2011-11-23,14.219,0.016,IC
2455888.561,2011-11-23,14.543,0.012,RC
2455888.561,2011-11-23,14.778,0.010,V
2455888.561,2011-11-23,14.988,0.015,B
2455888.561,2011-11-23,14.359,0.015,IC
2455889.484,2011-11-24,--,--,RC
2455889.484,2011-11-24,14.947,0.007,V
2455889.484,2011-11-24,--,--,B
2455889.484,2011-11-24,14.420,0.014,IC
2455889.485,2011-11-24,--,--,RC
2455889.485,2011-11-24,14.891,0.016,V
2455889.485,2011-11-24,15.058,0.017,B
2455889.485,2011-11-24,--,--,IC
2455890.425,2011-11-25,14.721,0.012,RC
2455890.425,2011-11-25,14.974,0.008,V
2455890.425,2011-11-25,15.192,0.012,B
2455890.425,2011-11-25,14.492,0.016,IC
2455891.460,2011-11-26,14.835,0.014,RC
2455891.460,2011-11-26,15.061,0.014,V
2455891.460,2011-11-26,15.278,0.017,B
2455891.460,2011-11-26,14.600,0.022,IC
2455892.536,2011-11-27,14.748,0.012,RC
2455892.536,2011-11-27,15.007,0.010,V
2455892.536,2011-11-27,15.208,0.015,B
2455892.536,2011-11-27,14.521,0.018,IC
2455895.566,2011-11-30,14.998,0.016,RC
2455895.566,2011-11-30,15.254,0.013,V
2455895.566,2011-11-30,15.475,0.017,B
2455895.566,2011-11-30,14.741,0.026,IC
2455896.466,2011-12-01,15.029,0.013,RC
2455896.466,2011-12-01,15.314,0.010,V
2455896.466,2011-12-01,15.506,0.013,B
2455896.466,2011-12-01,14.764,0.018,IC
2455901.460,2011-12-06,15.054,0.016,RC
2455901.460,2011-12-06,15.367,0.016,V
2455901.460,2011-12-06,15.575,0.020,B
2455901.460,2011-12-06,14.764,0.017,IC
2455903.438,2011-12-08,14.975,0.030,RC
2455903.438,2011-12-08,15.252,0.025,V
2455903.438,2011-12-08,15.656,0.031,B
2455903.438,2011-12-08,14.702,0.028,IC
2455906.490,2011-12-11,15.086,0.021,RC
2455906.490,2011-12-11,15.288,0.019,V
2455906.490,2011-12-11,15.608,0.025,B
2455906.490,2011-12-11,14.782,0.024,IC
2455913.528,2011-12-18,14.618,0.015,RC
2455913.528,2011-12-18,14.902,0.013,V
2455913.528,2011-12-18,15.071,0.019,B
2455913.528,2011-12-18,14.346,0.023,IC
2455915.362,2011-12-20,14.624,0.012,RC
2455915.362,2011-12-20,14.892,0.008,V
2455915.362,2011-12-20,15.123,0.015,B
2455915.362,2011-12-20,14.396,0.016,IC
2455915.405,2011-12-20,14.613,0.011,RC
2455915.405,2011-12-20,14.865,0.009,V
2455915.405,2011-12-20,15.096,0.014,B
2455915.405,2011-12-20,14.350,0.015,IC
2455915.448,2011-12-20,14.561,0.011,RC
2455915.448,2011-12-20,14.777,0.008,V
2455915.448,2011-12-20,15.026,0.014,B
2455915.448,2011-12-20,14.334,0.015,IC
2455916.473,2011-12-21,14.783,0.017,RC
2455916.473,2011-12-21,15.041,0.014,V
2455916.473,2011-12-21,15.275,0.019,B
2455916.473,2011-12-21,14.590,0.022,IC
2455917.445,2011-12-22,14.774,0.014,RC
2455917.445,2011-12-22,15.048,0.009,V
2455917.445,2011-12-22,15.267,0.015,B
2455917.445,2011-12-22,14.552,0.020,IC
2455918.371,2011-12-23,14.709,0.015,RC
2455918.371,2011-12-23,14.967,0.012,V
2455918.371,2011-12-23,15.188,0.017,B
2455918.371,2011-12-23,14.446,0.018,IC
2455919.435,2011-12-24,14.863,0.013,RC
2455919.435,2011-12-24,15.096,0.009,V
2455919.435,2011-12-24,15.352,0.013,B
2455919.435,2011-12-24,14.561,0.016,IC
2455921.393,2011-12-26,14.816,0.013,RC
2455921.393,2011-12-26,15.061,0.010,V
2455921.393,2011-12-26,15.249,0.015,B
2455921.393,2011-12-26,14.560,0.015,IC
2455923.409,2011-12-28,14.741,0.012,RC
2455923.409,2011-12-28,15.006,0.010,V
2455923.409,2011-12-28,15.235,0.015,B
2455923.409,2011-12-28,14.515,0.016,IC
2455924.363,2011-12-29,14.836,0.016,RC
2455924.363,2011-12-29,15.101,0.011,V
2455924.363,2011-12-29,15.338,0.017,B
2455924.363,2011-12-29,14.575,0.022,IC
2455926.371,2011-12-31,14.759,0.013,RC
2455926.371,2011-12-31,15.035,0.010,V
2455926.371,2011-12-31,15.309,0.017,B
2455926.371,2011-12-31,14.521,0.017,IC
2455927.365,2012-01-01,14.837,0.013,RC
2455927.365,2012-01-01,15.107,0.010,V
2455927.365,2012-01-01,15.340,0.017,B
2455927.365,2012-01-01,14.586,0.016,IC
2455927.421,2012-01-01,14.775,0.012,RC
2455927.421,2012-01-01,15.032,0.009,V
2455927.421,2012-01-01,15.293,0.016,B
2455927.421,2012-01-01,14.545,0.015,IC
2455931.343,2012-01-05,14.752,0.017,RC
2455931.343,2012-01-05,14.984,0.015,V
2455931.343,2012-01-05,15.227,0.020,B
2455931.343,2012-01-05,14.426,0.017,IC
2455933.372,2012-01-07,14.583,0.018,RC
2455933.372,2012-01-07,14.808,0.017,V
2455933.372,2012-01-07,15.023,0.023,B
2455933.372,2012-01-07,14.360,0.018,IC
2455936.377,2012-01-10,14.612,0.016,RC
2455936.377,2012-01-10,14.865,0.017,V
2455936.377,2012-01-10,15.149,0.024,B
2455936.377,2012-01-10,14.378,0.017,IC
2455937.283,2012-01-11,14.731,0.017,RC
2455937.283,2012-01-11,15.006,0.016,V
2455937.283,2012-01-11,15.194,0.022,B
2455937.283,2012-01-11,14.471,0.018,IC
2455937.328,2012-01-11,14.728,0.016,RC
2455937.328,2012-01-11,14.959,0.015,V
2455937.328,2012-01-11,15.187,0.020,B
2455937.328,2012-01-11,14.514,0.018,IC
2455937.373,2012-01-11,14.766,0.017,RC
2455937.373,2012-01-11,14.987,0.015,V
2455937.373,2012-01-11,15.212,0.022,B
2455937.373,2012-01-11,14.481,0.018,IC
2455939.403,2012-01-13,14.654,0.025,RC
2455939.403,2012-01-13,14.924,0.024,V
2455939.403,2012-01-13,15.132,0.025,B
2455939.403,2012-01-13,14.354,0.027,IC
2455940.356,2012-01-14,14.596,0.011,RC
2455940.356,2012-01-14,14.834,0.008,V
2455940.356,2012-01-14,15.075,0.016,B
2455940.356,2012-01-14,14.359,0.012,IC
2455941.310,2012-01-15,14.748,0.013,RC
2455941.310,2012-01-15,14.978,0.008,V
2455941.310,2012-01-15,15.229,0.014,B
2455941.310,2012-01-15,14.465,0.013,IC
2455941.360,2012-01-15,14.765,0.013,RC
2455941.360,2012-01-15,15.019,0.009,V
2455941.360,2012-01-15,15.224,0.014,B
2455941.360,2012-01-15,14.506,0.014,IC
2455942.354,2012-01-16,14.714,0.012,RC
2455942.354,2012-01-16,14.980,0.008,V
2455942.354,2012-01-16,15.239,0.012,B
2455942.354,2012-01-16,14.449,0.014,IC
2455943.480,2012-01-17,14.544,0.011,RC
2455943.480,2012-01-17,14.783,0.006,V
2455943.480,2012-01-17,14.979,0.015,B
2455943.480,2012-01-17,14.292,0.010,IC
2455944.387,2012-01-18,14.648,0.017,RC
2455944.387,2012-01-18,14.927,0.010,V
2455944.387,2012-01-18,15.135,0.014,B
2455944.387,2012-01-18,14.409,0.017,IC
2455950.361,2012-01-24,14.453,0.012,RC
2455950.361,2012-01-24,14.710,0.009,V
2455950.361,2012-01-24,14.914,0.015,B
2455950.361,2012-01-24,14.235,0.016,IC
2455953.280,2012-01-27,14.573,0.012,RC
2455953.280,2012-01-27,14.836,0.008,V
2455953.280,2012-01-27,15.045,0.014,B
2455953.280,2012-01-27,14.323,0.014,IC
2455953.341,2012-01-27,14.605,0.012,RC
2455953.341,2012-01-27,14.851,0.008,V
2455953.341,2012-01-27,15.079,0.013,B
2455953.341,2012-01-27,14.345,0.013,IC
2455963.388,2012-02-06,14.420,0.027,RC
2455963.388,2012-02-06,14.660,0.028,V
2455963.388,2012-02-06,14.933,0.032,B
2455963.388,2012-02-06,14.141,0.028,IC
2455966.259,2012-02-09,14.473,0.012,RC
2455966.259,2012-02-09,14.715,0.011,V
2455966.259,2012-02-09,14.911,0.017,B
2455966.259,2012-02-09,14.233,0.016,IC
2455966.334,2012-02-09,14.537,0.016,RC
2455966.334,2012-02-09,14.797,0.014,V
2455966.334,2012-02-09,15.026,0.020,B
2455966.334,2012-02-09,14.241,0.017,IC
2455972.325,2012-02-15,14.494,0.013,RC
2455972.325,2012-02-15,14.706,0.010,V
2455972.325,2012-02-15,14.911,0.016,B
2455972.325,2012-02-15,14.214,0.016,IC
2455974.344,2012-02-17,14.690,0.013,RC
2455974.344,2012-02-17,14.922,0.010,V
2455974.344,2012-02-17,15.137,0.015,B
2455974.344,2012-02-17,14.423,0.018,IC
2455975.361,2012-02-18,14.577,0.016,RC
2455975.361,2012-02-18,14.775,0.013,V
2455975.361,2012-02-18,15.051,0.016,B
2455975.361,2012-02-18,14.334,0.020,IC
2455978.301,2012-02-21,14.844,0.014,RC
2455978.301,2012-02-21,15.066,0.010,V
2455978.301,2012-02-21,15.336,0.014,B
2455978.301,2012-02-21,14.537,0.019,IC
2455979.313,2012-02-22,14.726,0.014,RC
2455979.313,2012-02-22,15.002,0.013,V
2455979.313,2012-02-22,15.259,0.016,B
2455979.313,2012-02-22,14.478,0.017,IC
2455980.333,2012-02-23,14.804,0.015,RC
2455980.333,2012-02-23,15.056,0.012,V
2455980.333,2012-02-23,15.281,0.015,B
2455980.333,2012-02-23,14.531,0.016,IC
2455985.308,2012-02-28,14.714,0.014,RC
2455985.308,2012-02-28,14.971,0.012,V
2455985.308,2012-02-28,15.217,0.015,B
2455985.308,2012-02-28,14.456,0.015,IC
2455987.290,2012-03-01,14.796,0.015,RC
2455987.290,2012-03-01,15.048,0.013,V
2455987.290,2012-03-01,15.306,0.022,B
2455987.290,2012-03-01,14.503,0.017,IC
2455996.297,2012-03-10,14.830,0.018,RC
2455996.297,2012-03-10,15.043,0.016,V
2455996.297,2012-03-10,15.294,0.020,B
2455996.297,2012-03-10,14.541,0.020,IC
2455999.286,2012-03-13,14.700,0.014,RC
2455999.286,2012-03-13,14.983,0.013,V
2455999.286,2012-03-13,15.174,0.018,B
2455999.286,2012-03-13,14.462,0.016,IC
2456008.278,2012-03-22,14.681,0.022,RC
2456008.278,2012-03-22,14.839,0.018,V
2456008.278,2012-03-22,15.181,0.026,B
2456008.278,2012-03-22,14.369,0.022,IC
2456156.616,2012-08-17,--,--,RC
2456156.616,2012-08-17,14.996,0.014,V
2456156.616,2012-08-17,--,--,B
2456156.616,2012-08-17,14.444,0.046,IC
2456158.615,2012-08-19,14.507,0.020,RC
2456158.615,2012-08-19,14.744,0.024,V
2456158.615,2012-08-19,15.012,0.019,B
2456158.615,2012-08-19,14.202,0.026,IC
2456159.612,2012-08-20,--,--,RC
2456159.612,2012-08-20,14.856,0.013,V
2456159.612,2012-08-20,15.155,0.022,B
2456159.612,2012-08-20,14.396,0.023,IC
2456178.592,2012-09-08,14.527,0.017,RC
2456178.592,2012-09-08,14.808,0.018,V
2456178.592,2012-09-08,15.045,0.017,B
2456178.592,2012-09-08,14.269,0.017,IC
2456181.601,2012-09-11,14.838,0.010,RC
2456181.601,2012-09-11,15.104,0.009,V
2456181.601,2012-09-11,15.351,0.011,B
2456181.601,2012-09-11,14.520,0.011,IC
2456188.571,2012-09-18,15.155,0.009,RC
2456188.571,2012-09-18,15.383,0.009,V
2456188.571,2012-09-18,15.650,0.009,B
2456188.571,2012-09-18,14.818,0.012,IC
2456190.607,2012-09-20,15.101,0.006,RC
2456190.607,2012-09-20,15.356,0.007,V
2456190.607,2012-09-20,15.688,0.009,B
2456190.607,2012-09-20,14.767,0.010,IC
2456198.650,2012-09-28,15.059,0.009,RC
2456198.650,2012-09-28,15.323,0.008,V
2456198.650,2012-09-28,15.694,0.009,B
2456198.650,2012-09-28,14.664,0.010,IC
2456219.621,2012-10-19,14.980,0.013,RC
2456219.621,2012-10-19,15.291,0.011,V
2456219.621,2012-10-19,15.589,0.012,B
2456219.621,2012-10-19,14.709,0.014,IC
2456221.593,2012-10-21,14.972,0.007,RC
2456221.593,2012-10-21,15.210,0.007,V
2456221.593,2012-10-21,15.475,0.008,B
2456221.593,2012-10-21,14.641,0.009,IC
2456223.474,2012-10-23,14.829,0.010,RC
2456223.474,2012-10-23,15.112,0.009,V
2456223.474,2012-10-23,15.390,0.009,B
2456223.474,2012-10-23,14.553,0.011,IC
2456223.598,2012-10-23,14.868,0.009,RC
2456223.598,2012-10-23,15.123,0.009,V
2456223.598,2012-10-23,15.392,0.010,B
2456223.598,2012-10-23,14.552,0.013,IC
2456224.475,2012-10-24,14.919,0.009,RC
2456224.475,2012-10-24,15.181,0.009,V
2456224.475,2012-10-24,15.437,0.010,B
2456224.475,2012-10-24,14.622,0.013,IC
2456224.556,2012-10-24,14.977,0.008,RC
2456224.556,2012-10-24,15.227,0.008,V
2456224.556,2012-10-24,15.535,0.008,B
2456224.556,2012-10-24,14.633,0.011,IC
2456237.560,2012-11-06,15.328,0.019,RC
2456237.560,2012-11-06,15.639,0.018,V
2456237.560,2012-11-06,15.944,0.016,B
2456237.560,2012-11-06,14.949,0.022,IC
2456239.458,2012-11-08,15.433,0.010,RC
2456239.458,2012-11-08,15.734,0.011,V
2456239.458,2012-11-08,16.025,0.012,B
2456239.458,2012-11-08,15.069,0.015,IC
2456246.485,2012-11-15,15.478,0.012,RC
2456246.485,2012-11-15,15.781,0.012,V
2456246.485,2012-11-15,16.215,0.013,B
2456246.485,2012-11-15,15.067,0.015,IC
2456247.437,2012-11-16,15.341,0.013,RC
2456247.437,2012-11-16,15.698,0.013,V
2456247.437,2012-11-16,16.078,0.013,B
2456247.437,2012-11-16,15.021,0.017,IC
2456248.474,2012-11-17,15.382,0.009,RC
2456248.474,2012-11-17,15.725,0.009,V
2456248.474,2012-11-17,16.051,0.009,B
2456248.474,2012-11-17,14.953,0.010,IC
2456248.541,2012-11-17,15.400,0.010,RC
2456248.541,2012-11-17,15.718,0.007,V
2456248.541,2012-11-17,16.050,0.008,B
2456248.541,2012-11-17,15.024,0.012,IC
2456251.601,2012-11-20,15.303,0.014,RC
2456251.601,2012-11-20,15.544,0.012,V
2456251.601,2012-11-20,15.871,0.010,B
2456251.601,2012-11-20,14.966,0.017,IC
2456264.532,2012-12-03,15.034,0.008,RC
2456264.532,2012-12-03,15.339,0.010,V
2456264.532,2012-12-03,15.748,0.012,B
2456264.532,2012-12-03,14.779,0.009,IC
2456268.458,2012-12-07,--,--,RC
2456268.458,2012-12-07,14.947,0.011,V
2456268.458,2012-12-07,15.186,0.011,B
2456268.458,2012-12-07,14.415,0.008,IC
2456270.466,2012-12-09,14.448,0.006,RC
2456270.466,2012-12-09,14.674,0.006,V
2456270.466,2012-12-09,14.990,0.007,B
2456270.466,2012-12-09,14.171,0.007,IC
2456272.396,2012-12-11,14.543,0.006,RC
2456272.396,2012-12-11,14.777,0.005,V
2456272.396,2012-12-11,15.051,0.008,B
2456272.396,2012-12-11,14.249,0.008,IC
2456273.343,2012-12-12,14.474,0.007,RC
2456273.343,2012-12-12,14.722,0.006,V
2456273.343,2012-12-12,14.892,0.009,B
2456273.343,2012-12-12,14.234,0.007,IC
2456274.425,2012-12-13,14.484,0.006,RC
2456274.425,2012-12-13,14.760,0.006,V
2456274.425,2012-12-13,15.009,0.007,B
2456274.425,2012-12-13,14.236,0.007,IC
2456280.420,2012-12-19,14.512,0.007,RC
2456280.420,2012-12-19,14.726,0.007,V
2456280.420,2012-12-19,14.980,0.007,B
2456280.420,2012-12-19,14.267,0.009,IC
2456281.435,2012-12-20,14.491,0.007,RC
2456281.435,2012-12-20,14.673,0.006,V
2456281.435,2012-12-20,14.926,0.007,B
2456281.435,2012-12-20,14.245,0.011,IC
2456283.454,2012-12-22,14.623,0.006,RC
2456283.454,2012-12-22,14.813,0.006,V
2456283.454,2012-12-22,15.079,0.008,B
2456283.454,2012-12-22,14.376,0.007,IC
2456288.367,2012-12-27,14.765,0.014,RC
2456288.367,2012-12-27,15.006,0.016,V
2456288.367,2012-12-27,15.350,0.017,B
2456288.367,2012-12-27,14.489,0.016,IC
2456290.420,2012-12-29,14.681,0.010,RC
2456290.420,2012-12-29,14.924,0.011,V
2456290.420,2012-12-29,15.239,0.011,B
2456290.420,2012-12-29,14.423,0.011,IC
2456291.431,2012-12-30,14.822,0.011,RC
2456291.431,2012-12-30,15.070,0.009,V
2456291.431,2012-12-30,15.360,0.017,B
2456291.431,2012-12-30,14.505,0.011,IC
2456292.317,2012-12-31,14.815,0.011,RC
2456292.317,2012-12-31,15.037,0.012,V
2456292.317,2012-12-31,15.284,0.013,B
2456292.317,2012-12-31,14.476,0.012,IC
2456296.480,2013-01-04,14.985,0.014,RC
2456296.480,2013-01-04,15.224,0.013,V
2456296.480,2013-01-04,15.408,0.011,B
2456296.480,2013-01-04,14.661,0.016,IC
2456297.401,2013-01-05,14.909,0.008,RC
2456297.401,2013-01-05,15.185,0.009,V
2456297.401,2013-01-05,15.463,0.008,B
2456297.401,2013-01-05,14.649,0.011,IC
2456298.405,2013-01-06,14.994,0.007,RC
2456298.405,2013-01-06,15.214,0.008,V
2456298.405,2013-01-06,15.467,0.008,B
2456298.405,2013-01-06,14.673,0.010,IC
2456299.425,2013-01-07,14.934,0.007,RC
2456299.425,2013-01-07,15.156,0.008,V
2456299.425,2013-01-07,15.405,0.008,B
2456299.425,2013-01-07,14.613,0.009,IC
2456300.371,2013-01-08,14.827,0.006,RC
2456300.371,2013-01-08,15.146,0.006,V
2456300.371,2013-01-08,15.533,0.008,B
2456300.371,2013-01-08,14.563,0.010,IC
2456304.390,2013-01-12,14.889,0.006,RC
2456304.390,2013-01-12,15.164,0.008,V
2456304.390,2013-01-12,15.466,0.009,B
2456304.390,2013-01-12,14.572,0.014,IC
2456315.383,2013-01-23,14.676,0.010,RC
2456315.383,2013-01-23,14.893,0.010,V
2456315.383,2013-01-23,15.163,0.011,B
2456315.383,2013-01-23,14.406,0.011,IC
2456318.281,2013-01-26,14.511,0.011,RC
2456318.281,2013-01-26,14.837,0.009,V
2456318.281,2013-01-26,15.017,0.013,B
2456318.281,2013-01-26,14.286,0.011,IC
2456322.347,2013-01-30,14.413,0.008,RC
2456322.347,2013-01-30,14.626,0.008,V
2456322.347,2013-01-30,14.862,0.011,B
2456322.347,2013-01-30,14.124,0.007,IC
2456327.252,2013-02-04,14.191,0.006,RC
2456327.252,2013-02-04,14.398,0.007,V
2456327.252,2013-02-04,14.677,0.009,B
2456327.252,2013-02-04,13.924,0.008,IC
2456331.285,2013-02-08,14.003,0.005,RC
2456331.285,2013-02-08,14.194,0.006,V
2456331.285,2013-02-08,14.429,0.008,B
2456331.285,2013-02-08,13.824,0.006,IC
2456333.293,2013-02-10,14.230,0.014,RC
2456333.293,2013-02-10,14.364,0.007,V
2456333.293,2013-02-10,14.489,0.009,B
2456333.293,2013-02-10,13.913,0.007,IC
2456338.342,2013-02-15,14.352,0.008,RC
2456338.342,2013-02-15,14.664,0.008,V
2456338.342,2013-02-15,14.862,0.010,B
