#HJD,Obs,Mag,Band
2454217.9681,a,9.636,RC
2454217.9681,a,10.620,V
2454217.9728,a,11.678,B
2454217.9728,a,7.049,IC
2454217.9728,a,9.640,RC
2454217.9728,a,10.636,V
2454219.5885,c,11.696,B
2454219.5885,c,7.067,IC
2454219.5885,c,9.775,RC
2454219.5885,c,10.779,V
2454219.6172,b,11.647,B
2454219.6172,b,7.188,IC
2454219.6172,b,9.752,RC
2454219.6172,b,10.769,V
2454221.6213,b,11.735,B
2454221.6213,b,7.334,IC
2454221.6213,b,9.836,RC
2454221.6213,b,10.858,V
2454221.9483,a,11.990,B
2454221.9483,a,7.274,IC
2454221.9483,a,9.883,RC
2454221.9483,a,10.975,V
2454221.9535,a,12.011,B
2454221.9535,a,--,IC
2454221.9535,a,--,RC
2454221.9535,a,11.046,V
2454223.9438,a,12.188,B
2454223.9438,a,7.486,IC
2454223.9438,a,10.079,RC
2454223.9438,a,11.181,V
2454223.9496,a,12.178,B
2454223.9496,a,7.519,IC
2454223.9496,a,10.077,RC
2454223.9496,a,11.173,V
2454227.5738,b,11.908,B
2454227.5738,b,7.581,IC
2454227.5738,b,10.022,RC
2454227.5738,b,11.070,V
2454228.9622,a,12.164,B
2454228.9622,a,7.553,IC
2454228.9622,a,10.067,RC
2454228.9622,a,11.139,V
2454228.9680,a,12.171,B
2454228.9680,a,7.551,IC
2454228.9680,a,10.090,RC
2454228.9680,a,11.152,V
2454229.9481,a,12.250,B
2454229.9481,a,7.497,IC
2454229.9481,a,10.128,RC
2454229.9481,a,11.185,V
2454229.9571,a,12.251,B
2454229.9571,a,7.480,IC
2454229.9571,a,10.142,RC
2454229.9571,a,11.196,V
2454230.9056,a,12.593,B
2454230.9056,a,7.751,IC
2454230.9056,a,10.410,RC
2454230.9056,a,11.562,V
2454230.9133,a,12.584,B
2454230.9133,a,7.715,IC
2454230.9133,a,10.417,RC
2454230.9133,a,11.569,V
2454231.5753,b,12.415,B
2454231.5753,b,7.686,IC
2454231.5753,b,10.403,RC
2454231.5753,b,11.617,V
2454231.5998,c,12.475,B
2454231.5998,c,7.661,IC
2454231.5998,c,10.424,RC
2454231.5998,c,11.512,V
2454231.8897,a,12.616,B
2454231.8897,a,7.769,IC
2454231.8897,a,10.431,RC
2454231.8897,a,11.600,V
2454231.8980,a,12.637,B
2454231.8980,a,7.769,IC
2454231.8980,a,10.439,RC
2454231.8980,a,11.628,V
2454232.9311,a,12.461,B
2454232.9311,a,7.791,IC
2454232.9311,a,10.377,RC
2454232.9311,a,11.465,V
2454232.9388,a,12.465,B
2454232.9388,a,7.765,IC
2454232.9388,a,10.363,RC
2454232.9388,a,11.472,V
2454233.9418,a,12.547,B
2454233.9418,a,7.836,IC
2454233.9418,a,10.443,RC
2454233.9418,a,11.547,V
2454233.9495,a,12.556,B
2454233.9495,a,7.834,IC
2454233.9495,a,10.457,RC
2454233.9495,a,11.549,V
2454234.5567,b,12.151,B
2454234.5567,b,7.836,IC
2454234.5567,b,10.301,RC
2454234.5567,b,11.378,V
2454235.9571,a,12.503,B
2454235.9571,a,7.864,IC
2454235.9571,a,10.406,RC
2454235.9571,a,11.502,V
2454235.9640,a,12.529,B
2454235.9640,a,7.910,IC
2454235.9640,a,10.479,RC
2454235.9640,a,11.528,V
2454236.9498,a,12.464,B
2454236.9498,a,7.997,IC
2454236.9498,a,10.459,RC
2454236.9498,a,11.475,V
2454236.9564,a,12.466,B
2454236.9564,a,8.001,IC
2454236.9564,a,10.459,RC
2454236.9564,a,11.470,V
2454237.9290,a,12.443,B
2454237.9290,a,8.021,IC
2454237.9290,a,10.449,RC
2454237.9290,a,11.455,V
2454237.9374,a,12.447,B
2454237.9374,a,8.025,IC
2454237.9374,a,10.462,RC
2454237.9374,a,11.460,V
2454238.9209,a,12.504,B
2454238.9209,a,8.022,IC
2454238.9209,a,10.515,RC
2454238.9209,a,11.511,V
2454238.9297,a,12.499,B
2454238.9297,a,8.037,IC
2454238.9297,a,10.524,RC
2454238.9297,a,11.519,V
2454239.5709,b,12.348,B
2454239.5709,b,8.215,IC
2454239.5709,b,10.585,RC
2454239.5709,b,11.570,V
2454239.9453,a,12.618,B
2454239.9453,a,8.165,IC
2454239.9453,a,10.642,RC
2454239.9453,a,11.661,V
2454239.9525,a,12.624,B
2454239.9525,a,8.159,IC
2454239.9525,a,10.639,RC
2454239.9525,a,11.644,V
2454243.8740,a,12.811,B
2454243.8740,a,8.504,IC
2454243.8740,a,10.911,RC
2454243.8740,a,11.890,V
2454243.8833,a,12.796,B
2454243.8833,a,8.498,IC
2454243.8833,a,10.897,RC
2454243.8833,a,11.889,V
2454246.9183,a,12.729,B
2454246.9183,a,8.540,IC
2454246.9183,a,10.855,RC
2454246.9183,a,11.800,V
2454246.9259,a,12.712,B
2454246.9259,a,8.537,IC
2454246.9259,a,10.861,RC
2454246.9259,a,11.793,V
2454247.8834,a,12.810,B
2454247.8834,a,8.700,IC
2454247.8834,a,10.989,RC
2454247.8834,a,11.916,V
2454247.8922,a,12.811,B
2454247.8922,a,8.685,IC
2454247.8922,a,10.993,RC
2454247.8922,a,11.919,V
2454256.8669,a,13.499,B
2454256.8669,a,9.763,IC
2454256.8669,a,11.873,RC
2454256.8669,a,12.738,V
2454256.8755,a,13.484,B
2454256.8755,a,9.726,IC
2454256.8755,a,11.864,RC
2454256.8755,a,12.738,V
2454263.8840,a,14.044,B
2454263.8840,a,10.366,IC
2454263.8840,a,12.494,RC
2454263.8840,a,13.396,V
2454263.8916,a,14.066,B
2454263.8916,a,10.404,IC
2454263.8916,a,12.522,RC
2454263.8916,a,13.418,V
2454268.4694,b,--,B
2454268.4694,b,--,IC
2454268.4694,b,12.459,RC
2454268.4694,b,13.280,V
2454269.7873,a,14.195,B
2454269.7873,a,10.455,IC
2454269.7873,a,12.634,RC
2454269.7873,a,13.494,V
2454269.7959,a,14.192,B
2454269.7959,a,10.444,IC
2454269.7959,a,12.617,RC
2454269.7959,a,13.480,V
2454272.8307,a,16.185,B
2454272.8307,a,10.899,IC
2454272.8307,a,13.634,RC
2454272.8307,a,15.183,V
2454272.8389,a,16.166,B
2454272.8389,a,10.852,IC
2454272.8389,a,13.614,RC
2454272.8389,a,15.127,V
2454273.8336,a,16.421,B
2454273.8336,a,10.874,IC
2454273.8336,a,13.719,RC
2454273.8336,a,15.313,V
2454273.8412,a,16.407,B
2454273.8412,a,10.887,IC
2454273.8412,a,13.710,RC
2454273.8412,a,15.313,V
2454275.4765,c,16.296,B
2454275.4765,c,10.806,IC
2454275.4765,c,13.741,RC
2454275.4765,c,15.329,V
2454275.7490,a,--,B
2454275.7490,a,10.843,IC
2454275.7490,a,13.759,RC
2454275.7490,a,15.311,V
2454276.5096,c,15.965,B
2454276.5096,c,10.946,IC
2454276.5096,c,13.650,RC
2454276.5096,c,15.079,V
2454278.7832,a,15.514,B
2454278.7832,a,10.987,IC
2454278.7832,a,13.498,RC
2454278.7832,a,14.740,V
2454282.7439,a,15.629,B
2454282.7439,a,11.290,IC
2454282.7439,a,13.638,RC
2454282.7439,a,14.771,V
2454286.4684,b,15.569,B
2454286.4684,b,11.183,IC
2454286.4684,b,13.506,RC
2454286.4684,b,14.668,V
2454288.5266,c,15.599,B
2454288.5266,c,11.582,IC
2454288.5266,c,13.654,RC
2454288.5266,c,14.743,V
2454299.4413,c,16.460,B
2454299.4413,c,12.101,IC
2454299.4413,c,14.334,RC
2454299.4413,c,15.546,V
2454316.4091,c,16.889,B
2454316.4091,c,12.105,IC
2454316.4091,c,14.641,RC
2454316.4091,c,15.747,V
2454333.6862,a,16.959,B
2454333.6862,a,12.975,IC
2454333.6862,a,14.554,RC
2454333.6862,a,15.792,V
2454344.6414,a,--,B
2454344.6414,a,--,IC
2454344.6414,a,14.563,RC
2454344.6414,a,15.763,V
2454348.6288,a,17.001,B
2454348.6288,a,--,IC
2454348.6288,a,14.515,RC
2454348.6288,a,15.685,V
2454348.6474,a,16.937,B
2454348.6474,a,12.814,IC
2454348.6474,a,14.525,RC
2454348.6474,a,15.661,V
2454355.6201,a,16.839,B
2454355.6201,a,--,IC
2454355.6201,a,14.586,RC
2454355.6201,a,15.628,V
2454374.3225,c,--,B
2454374.3225,c,12.475,IC
2454374.3225,c,14.823,RC
2454374.3225,c,15.672,V
2454376.3018,c,--,B
2454376.3018,c,--,IC
2454376.3018,c,14.629,RC
2454376.3018,c,15.498,V
2454381.3025,c,--,B
2454381.3025,c,--,IC
2454381.3025,c,14.610,RC
2454381.3025,c,15.488,V
2454382.2818,c,--,B
2454382.2818,c,--,IC
2454382.2818,c,14.609,RC
2454382.2818,c,15.427,V
2454389.2629,c,--,B
2454389.2629,c,--,IC
2454389.2629,c,14.696,RC
2454389.2629,c,15.438,V
