#HJD,Tel,Mag,Band
6221.5624,30,10.959,V
6221.6387,61,10.913,B
6221.6387,61,9.866,IC
6221.6387,61,9.673,RC
6221.6387,61,10.877,V
6224.6225,30,10.908,B
6224.6225,30,9.871,IC
6224.6225,30,9.707,RC
6224.6225,30,10.911,V
6230.4697,30,11.041,B
6230.4697,30,10.046,IC
6230.4697,30,9.875,RC
6230.4697,30,11.002,V
6237.5008,30,11.095,B
6237.5008,30,10.216,IC
6237.5008,30,10.035,RC
6237.5008,30,11.106,V
6239.7161,61,11.097,B
6239.7161,61,10.257,IC
6239.7161,61,10.062,RC
6239.7161,61,11.119,V
6247.6444,30,11.149,B
6247.6444,30,10.335,IC
6247.6444,30,10.186,RC
6247.6444,30,11.152,V
6248.4622,61,11.170,B
6248.4622,61,10.385,IC
6248.4622,61,10.186,RC
6248.4622,61,11.156,V
6251.7104,30,11.176,B
6251.7104,30,10.445,IC
6251.7104,30,10.282,RC
6251.7104,30,11.228,V
6253.4268,30,11.208,B
6253.4268,30,10.469,IC
6253.4268,30,10.307,RC
6253.4268,30,11.240,V
6256.7257,30,11.199,B
6256.7257,30,10.534,IC
6256.7257,30,10.351,RC
6256.7257,30,11.286,V
6264.4491,30,11.317,B
6264.4491,30,10.621,IC
6264.4491,30,10.504,RC
6264.4491,30,11.305,V
6264.6907,30,11.307,B
6264.6907,30,10.608,IC
6264.6907,30,10.495,RC
6264.6907,30,11.300,V
6265.3794,30,11.303,B
6265.3794,30,10.672,IC
6265.3794,30,10.511,RC
6265.3794,30,11.324,V
6267.5269,61,11.381,B
6267.5269,61,10.758,IC
6267.5269,61,10.602,RC
6267.5269,61,11.383,V
6268.3786,30,11.350,B
6268.3786,30,10.718,IC
6268.3786,30,10.583,RC
6268.3786,30,11.374,V
6270.4440,30,11.385,B
6270.4440,30,10.734,IC
6270.4440,30,10.626,RC
6270.4440,30,11.354,V
6273.7129,61,11.387,B
6273.7129,61,10.812,IC
6273.7129,61,10.660,RC
6273.7129,61,11.416,V
6274.4883,30,11.435,B
6274.4883,30,10.798,IC
6274.4883,30,10.687,RC
6274.4883,30,11.388,V
6274.6304,61,11.447,B
6274.6304,61,10.855,IC
6274.6304,61,10.707,RC
6274.6304,61,11.427,V
6278.4119,61,11.461,B
6278.4119,61,10.906,IC
6278.4119,61,10.786,RC
6278.4119,61,11.438,V
6280.4476,30,11.476,B
6280.4476,30,10.917,IC
6280.4476,30,10.832,RC
6280.4476,30,11.454,V
6281.4742,30,11.500,B
6281.4742,30,10.994,IC
6281.4742,30,10.891,RC
6281.4742,30,11.488,V
6281.6380,61,11.450,B
6281.6380,61,10.936,IC
6281.6380,61,10.826,RC
6281.6380,61,11.442,V
6283.5159,30,11.496,B
6283.5159,30,11.023,IC
6283.5159,30,10.928,RC
6283.5159,30,11.505,V
6288.3965,30,11.523,B
6288.3965,30,11.042,IC
6288.3965,30,10.976,RC
6288.3965,30,11.505,V
6288.4285,61,11.535,B
6288.4285,61,11.059,IC
6288.4285,61,10.975,RC
6288.4285,61,11.495,V
6291.4593,30,11.582,B
6291.4593,30,11.094,IC
6291.4593,30,11.062,RC
6291.4593,30,11.561,V
6293.3691,30,11.577,B
6293.3691,30,11.127,IC
6293.3691,30,11.063,RC
6293.3691,30,11.561,V
6296.5419,30,11.648,B
6296.5419,30,11.240,IC
6296.5419,30,11.154,RC
6296.5419,30,11.627,V
6298.4547,30,11.646,B
6298.4547,30,11.167,IC
6298.4547,30,11.137,RC
6298.4547,30,11.581,V
6299.4825,30,11.696,B
6299.4825,30,11.277,IC
6299.4825,30,11.212,RC
6299.4825,30,11.660,V
6300.4481,30,11.675,B
6300.4481,30,11.233,IC
6300.4481,30,11.195,RC
6300.4481,30,11.619,V
6304.5081,30,11.771,B
6304.5081,30,11.363,IC
6304.5081,30,11.307,RC
6304.5081,30,11.708,V
6311.3110,30,--,B
6311.3110,30,11.438,IC
6311.3110,30,--,RC
6311.3110,30,11.761,V
6315.4967,30,11.925,B
6315.4967,30,11.515,IC
6315.4967,30,11.474,RC
6315.4967,30,11.817,V
6315.5033,30,--,B
6315.5033,30,11.484,IC
6315.5033,30,--,RC
6315.5033,30,11.808,V
6315.5355,30,--,B
6315.5355,30,11.456,IC
6315.5355,30,--,RC
6315.5355,30,11.793,V
6323.3180,30,--,B
6323.3180,30,11.583,IC
6323.3180,30,--,RC
6323.3180,30,11.868,V
6323.3270,36,12.039,B
6323.3270,36,--,IC
6323.3270,36,--,RC
6323.3270,36,11.873,V
6324.2960,30,--,B
6324.2960,30,11.652,IC
6324.2960,30,--,RC
6324.2960,30,11.906,V
6324.3910,61,--,B
6324.3910,61,11.611,IC
6324.3910,61,--,RC
6324.3910,61,11.858,V
6324.4000,36,12.058,B
6324.4000,36,--,IC
6324.4000,36,--,RC
6324.4000,36,11.890,V
6327.3020,36,12.134,B
6327.3020,36,--,IC
6327.3020,36,--,RC
6327.3020,36,11.946,V
6327.3180,30,--,B
6327.3180,30,11.734,IC
6327.3180,30,--,RC
6327.3180,30,11.945,V
6327.3730,61,--,B
6327.3730,61,11.692,IC
6327.3730,61,--,RC
6327.3730,61,11.890,V
6328.3820,61,--,B
6328.3820,61,11.762,IC
6328.3820,61,--,RC
6328.3820,61,11.938,V
6328.3890,36,12.154,B
6328.3890,36,--,IC
6328.3890,36,--,RC
6328.3890,36,11.955,V
6330.3968,61,12.226,B
6330.3968,61,11.767,IC
6330.3968,61,11.732,RC
6330.3968,61,11.958,V
6331.3520,36,12.245,B
6331.3520,36,--,IC
6331.3520,36,--,RC
6331.3520,36,11.992,V
6331.3620,30,--,B
6331.3620,30,11.809,IC
6331.3620,30,--,RC
6331.3620,30,11.997,V
6332.3470,36,12.296,B
6332.3470,36,--,IC
6332.3470,36,--,RC
6332.3470,36,12.039,V
6332.4840,61,--,B
6332.4840,61,11.838,IC
6332.4840,61,--,RC
6332.4840,61,12.011,V
6333.4100,36,12.337,B
6333.4100,36,--,IC
6333.4100,36,--,RC
6333.4100,36,12.073,V
6333.4177,30,12.371,B
6333.4177,30,11.918,IC
6333.4177,30,11.896,RC
6333.4177,30,12.071,V
6334.2927,61,12.401,B
6334.2927,61,11.968,IC
6334.2927,61,11.918,RC
6334.2927,61,12.093,V
6334.3480,61,--,B
6334.3480,61,11.972,IC
6334.3480,61,--,RC
6334.3480,61,12.098,V
6338.2539,30,12.474,B
6338.2539,30,12.029,IC
6338.2539,30,11.987,RC
6338.2539,30,12.133,V
6338.4033,61,12.459,B
6338.4033,61,11.982,IC
6338.4033,61,11.966,RC
6338.4033,61,12.138,V
6342.2816,30,12.538,B
6342.2816,30,12.079,IC
6342.2816,30,12.070,RC
6342.2816,30,12.182,V
6342.2981,61,12.532,B
6342.2981,61,12.097,IC
6342.2981,61,12.066,RC
6342.2981,61,12.165,V
6343.3903,30,12.562,B
6343.3903,30,12.066,IC
6343.3903,30,12.064,RC
6343.3903,30,12.179,V
6349.3244,30,12.659,B
6349.3244,30,12.173,IC
6349.3244,30,12.158,RC
6349.3244,30,12.249,V
6352.4366,30,12.714,B
6352.4366,30,12.266,IC
6352.4366,30,12.241,RC
6352.4366,30,12.314,V
6353.3420,36,12.729,B
6353.3420,36,--,IC
6353.3420,36,--,RC
6353.3420,36,12.338,V
6354.2978,36,12.756,B
6354.2978,36,--,IC
6354.2978,36,--,RC
6354.2978,36,12.345,V
6356.3969,30,12.802,B
6356.3969,30,12.292,IC
6356.3969,30,12.279,RC
6356.3969,30,12.326,V
6367.3330,30,13.011,B
6367.3330,30,12.496,IC
6367.3330,30,12.467,RC
6367.3330,30,12.452,V
6367.3575,36,12.994,B
6367.3575,36,--,IC
6367.3575,36,--,RC
6367.3575,36,12.466,V
6367.3745,61,12.989,B
6367.3745,61,12.491,IC
6367.3745,61,12.471,RC
6367.3745,61,12.435,V
